"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"51562",80.3712155569268,0.744997291414789,0.265466738223546,2.80636774460022,0.00501034754741829,0.0142065550711607
"645431",1.10140075018282,-0.738651270256046,0.721669652787289,-1.02353101228958,0.30605684462904,NA
"1241",184.282018219079,0.737599497791902,0.175269626758216,4.20837033452133,2.5721906119404e-05,0.00016230160480976
"1965",1002.8175409666,0.725176694297716,0.132863688005995,5.45805031593732,4.81391256493193e-08,5.82873737591758e-07
"8814",65.9585869441561,-0.724716803593119,0.272062047371212,-2.66379236132222,0.00772652383936536,0.0201248521967621
"10572",1533.9592112381,-0.72335246379959,0.172798275562376,-4.1861092736338,2.8377677144071e-05,0.00017415341589786
"161357",3.91093614010412,0.720132613320407,0.689070596739257,1.04507813383438,0.295986859209724,0.407549440212015
"23351",1551.62887257246,-0.708929251855538,0.118176328279823,-5.99891079858991,1.98645435124443e-09,2.96643849785836e-08
"123099",6.91419698610375,0.706087020640966,0.62433958513667,1.13093425028689,0.258082766187041,0.362448524300296
"51804",378.731637143684,0.701938692448754,0.14386571196158,4.87912430889863,1.0655789055921e-06,8.84035832787521e-06
"55038",540.199366046281,0.697281116634237,0.166471422414359,4.18859349263357,2.80688672128689e-05,0.00017415341589786
"7443",115.006428831965,0.69542916816118,0.212805569550322,3.26790868129385,0.00108345317494672,0.0037537156353444
"60686",216.029900967751,0.695151900366022,0.168837524944053,4.11728317266184,3.83364921970008e-05,0.000216986144434838
"100529261",15.2191803823681,0.68839581831613,0.435485375543253,1.58075530655278,0.113933997210282,0.18669728198366
"90673",48.104431834993,-0.688274871515456,0.280867245112756,-2.4505344909092,0.0142644295788307,0.0326044104658987
"81892",395.803074661241,0.687404960674608,0.139450638959126,4.92937835068718,8.24916818652695e-07,7.10697566839244e-06
"55237",0.244604444377625,0.683497037359114,0.493198534099321,1.38584563842493,0.165794043181846,NA
"728635",12.680881774761,-0.681218636551113,0.497535888519006,-1.36918492167242,0.170941478081073,0.260812538585099
"9056",8.49718166095661,-0.677819304598832,0.560715398208492,-1.20884731677512,0.226721509350867,0.331932144409113
"10598",2014.19504407581,0.671376830801339,0.10847405537726,6.18928487983942,6.04377703812324e-10,9.67004326099718e-09
"400236",21.1880920520839,-0.668792765908579,0.416035525781448,-1.60753763672554,0.10793648008197,0.178537030374329
"145376",1.52610582752836,0.663388347949224,0.737712673122482,0.899250307225076,0.368519349660451,NA
"79696",9.65485101596621,-0.66106540118584,0.521843539707438,-1.26678851204415,0.205230920885145,0.305209888788096
"10668",56.0637010937899,-0.660720344312448,0.288840443937058,-2.28749248306939,0.0221670936916351,0.0472897998754883
"7051",140.268301368179,0.656900793140942,0.209462054466489,3.13613267478972,0.00171191738870911,0.00567054586670355
"55030",832.784271522788,0.655091882056005,0.125664378037104,5.21302768762823,1.85783154362855e-07,1.93560123615254e-06
"8747",50.8933247002735,-0.649388157655921,0.294494022406118,-2.20509792473951,0.0274472236855753,0.0561477452563367
"280655",14.0014993486591,0.642737006948317,0.449238967375927,1.43072407699324,0.152509309957384,0.23641581612771
"317762",1333.95111831557,0.638991793463764,0.13545977572899,4.71720693486291,2.39104461061397e-06,1.8468758371639e-05
"91875",215.506706862087,0.627640208822662,0.161642032564476,3.88290223071965,0.000103217077512728,0.000491928199209595
"26257",8.93400191991033,-0.620317291620155,0.535309279744913,-1.15880167800519,0.246537033382495,0.351566814757137
"84684",0.777429071841636,0.619721599610084,0.659250063011809,0.940040258439814,0.347196910799642,NA
"55671",625.836442042281,0.619050102819896,0.138579058003344,4.46712592609022,7.92774683923988e-06,5.45491210963185e-05
"91750",72.0802359471852,0.618551207534182,0.234714480713742,2.63533466556146,0.00840543635060401,0.0215179170575463
"8846",211.90687817786,0.618441499314596,0.158628478653727,3.89867887887019,9.67189383184652e-05,0.000476154773260136
"80224",136.679724606725,0.617932538045701,0.203913144328084,3.0303712891185,0.00244253268868996,0.00761704448367126
"80821",349.527185042906,0.617517411492699,0.149771060283887,4.12307564840771,3.73846853307419e-05,0.000214722295232979
"57143",234.321216262903,-0.616132452895485,0.15772102838788,-3.90646991839442,9.36542963723545e-05,0.000466971873614538
"83694",200.19809480727,0.615634577199985,0.18447082191817,3.33730055950571,0.000845964115987908,0.00308123515416734
"161176",107.131534234867,0.613791305293965,0.207773831236046,2.95413191181259,0.00313549949412992,0.00942754210315575
"122953",370.418506971415,0.609465408218364,0.148786535102672,4.09624034727197,4.19913975953452e-05,0.000232248717564378
"25983",339.856444832978,0.607076434794237,0.147534004366222,4.11482381571707,3.87475257919354e-05,0.000216986144434838
"100628307",14.6428787000668,-0.603863968450644,0.478656505942236,-1.26158103139523,0.207099585251056,0.306206647499911
"56936",3.28985037391207,-0.599751783119829,0.70903649767476,-0.84586870363751,0.397625993173909,0.506229841174152
"80017",95.1364434285455,-0.597380740352245,0.219089659543622,-2.72664963557216,0.0063980935334488,0.0173717933514246
"6547",0.971363310048689,-0.594641566962505,0.712384317010624,-0.834720182299629,0.403875275463728,NA
"100129794",21.0913652411075,-0.583254721907116,0.400852458228242,-1.45503591143007,0.145659319921442,0.228165647988833
"54813",118.255348287161,-0.581245341463074,0.207417604146694,-2.80229512752445,0.00507404324876383,0.0142966753172717
"79038",711.794187477751,0.579991868971388,0.145982261174355,3.97302976612117,7.09641770811084e-05,0.000374022956851018
"9252",31.4082058725744,-0.578850832813967,0.347150886586917,-1.66743296698751,0.0954283431499982,0.161327915966789
"652",155.215285316105,-0.575029771356739,0.186175507044211,-3.0886435089455,0.00201072555057042,0.00638868827415282
"22990",4575.41546492155,-0.57376866347385,0.106085275516115,-5.4085608081085,6.35332166094378e-08,7.29817462590465e-07
"11169",517.390335277691,0.57216352716212,0.14784733663199,3.86996167936595,0.000108852461787257,0.000513325293480957
"26153",1508.85595650182,-0.571201924099784,0.192860958129978,-2.96172916301092,0.00305916747270283,0.00926018262007343
"22938",389.279138150234,0.568098591424289,0.145440130018899,3.90606493098204,9.38113138957778e-05,0.000466971873614538
"51109",2692.50482148618,-0.563820241593268,0.108550083857944,-5.19410231254288,2.05709995012853e-07,2.09450176740359e-06
"9529",647.300394518713,0.562853000726294,0.125326221062931,4.49110326596112,7.0855184563955e-06,4.95986291947685e-05
"5527",360.78940204713,0.562144445921013,0.147928213395034,3.8001165093493,0.000144628073814914,0.000654478556253347
"317760",1.11984843894904,0.559663437011084,0.72986255237593,0.76680662021802,0.443196499682034,NA
"57475",314.851584098013,0.55574832781228,0.148274744914798,3.74809835708451,0.000178180384660495,0.000767546272383669
"2972",525.952338579188,-0.55393523477008,0.153952289564633,-3.59809676320223,0.000320554365092163,0.0013421341641242
"8111",0.720793642787434,-0.552731884977695,0.685469876801436,-0.806354741009002,0.420038335262208,NA
"56413",65.058851443831,0.552356606227336,0.260350311699041,2.12158995555899,0.0338721866052502,0.066265238424245
"6710",586.584335338001,0.549730360306443,0.132562449619739,4.14695384615605,3.36927947886522e-05,0.000198610158754161
"64093",11602.1575379348,-0.547994050826652,0.11969194021018,-4.57837052239582,4.68612085582908e-06,3.38610023130875e-05
"10490",195.34971214517,0.544853968146428,0.166426453885026,3.27384232150277,0.00106095795658738,0.00374259184685942
"91748",1332.09809198065,0.543465094520931,0.123149861689813,4.41303861054914,1.01929809532618e-05,6.81560517471833e-05
"55668",275.242022255629,0.541510317767095,0.148145232211379,3.65526658998008,0.00025691486378664,0.00108966489467019
